Distance-miles,Lat,Lon,Altitude-meters
5.0720315077,30.22386292,-97.76348325,195.765625
5.0762542766,30.22380802,-97.76351603,196.246338
5.09157951,30.22368304,-97.76371803,197.20752
5.103057879,30.22368439,-97.76390956,198.649536
5.1097697794,30.22372345,-97.76401224,198.649536
5.123642614,30.22384699,-97.7641953,200.091675
5.1348916163,30.22395973,-97.76433066,201.052856
5.1464974161,30.22407113,-97.76447617,201.533569
5.1597482769,30.22419082,-97.76464884,201.533569
5.1757158153,30.22433868,-97.7648542,202.494873
5.1901997061,30.22446457,-97.76503365,203.93689
5.2058298524,30.22461629,-97.76524329,203.93689
5.2173883286,30.22471603,-97.76539927,202.975464
5.2323983218,30.22485358,-97.76559407,202.975464
5.2468573329,30.22498459,-97.76578367,203.456177
5.2611136715,30.22511669,-97.76596723,203.456177
5.2752261937,30.22524853,-97.76614753,203.93689
5.2912847505,30.22539253,-97.76635875,203.93689
5.3029712601,30.22549504,-97.76651415,203.93689
5.3140224366,30.22558783,-97.76666586,203.456177
5.3280645761,30.22571205,-97.76685244,203.93689
5.3389968222,30.22580702,-97.7669998,203.93689
5.3563824658,30.22596577,-97.76722678,205.859497
5.3692255458,30.22607977,-97.76739777,206.340088
5.3816638895,30.22618588,-97.76756725,205.859497
5.3965252134,30.22630205,-97.76777697,205.378784
5.408978731,30.22638638,-97.76796196,203.456177
5.4220542161,30.22647715,-97.76815432,202.494873
5.4347310358,30.22656198,-97.76834258,203.456177
5.4475905013,30.22665367,-97.76852975,206.820679
5.4616532703,30.22674277,-97.76874097,207.301392
5.4739350596,30.22684269,-97.76891146,209.224121
5.4784861113,30.22687655,-97.76897726,209.224121
5.4902047831,30.22702499,-97.76906309,211.146729
5.4988360115,30.22714787,-97.76903819,211.627441
5.5131548538,30.22734208,-97.76895354,213.069336
5.5207199215,30.22743755,-97.7688921,212.588623
5.5311661187,30.22755825,-97.76878523,212.588623
5.5397724674,30.22766369,-97.76870929,212.108032
5.5496628296,30.22778967,-97.76862924,211.627441
5.559896636,30.22792102,-97.76855196,211.146729
5.5690193813,30.22803434,-97.76847317,210.185425
5.5794036838,30.2281677,-97.76839245,207.782104
5.5902819202,30.22829074,-97.76829069,206.820679
5.5988433687,30.22840239,-97.76821408,206.340088
5.6080170913,30.22851504,-97.76813437,205.859497
5.6228820565,30.22870959,-97.76802549,205.859497
5.6377336685,30.22890195,-97.76791284,205.378784
5.6503109756,30.22906456,-97.7678167,203.93689
5.6647924369,30.22924326,-97.76769055,202.975464
5.6765250647,30.22938902,-97.76758946,202.494873
5.6913226733,30.22957879,-97.76747229,200.572266
5.7033908601,30.22973402,-97.7673795,200.572266
5.7147496959,30.22987065,-97.76727204,201.052856
5.7259052441,30.230003,-97.76716702,201.052856
5.7362786228,30.23012923,-97.76707767,201.052856
5.7451786688,30.23024457,-97.76700466,200.572266
5.7522352313,30.23033668,-97.7669506,201.052856
5.7636559619,30.23049284,-97.76689427,202.014282
5.7757308222,30.23064338,-97.76679193,202.014282
5.7830094813,30.23073952,-97.76674239,202.494873
5.7920454522,30.23085644,-97.76667458,203.456177
5.8034455471,30.23099164,-97.76656847,203.456177
5.8141945384,30.23112894,-97.76647358,203.93689
5.8246929183,30.23125693,-97.76637652,205.378784
5.834963746,30.23139054,-97.76630024,206.340088
5.846030699,30.23153664,-97.76622355,205.859497
5.8551328148,30.23166488,-97.76618994,205.378784
5.8700517896,30.23183545,-97.76603764,203.456177
5.8761241129,30.23190754,-97.76597997,202.975464
5.8874938662,30.23204818,-97.76587847,200.091675
5.8984843658,30.23218095,-97.76577612,196.726929
5.9040263365,30.23225756,-97.76574712,196.246338
5.9193549066,30.23246896,-97.76566808,193.843018
5.9268635413,30.23257515,-97.76563657,192.401123
5.9382957984,30.23270507,-97.76552215,191.439575
5.9497844884,30.23285268,-97.76543247,191.920288
5.9607816615,30.23298134,-97.76532618,192.401123
5.969697484,30.23309207,-97.76524982,192.881714
5.9768529626,30.23318175,-97.76518973,193.362305
5.9844690075,30.23327907,-97.7651298,193.843018
5.9899824572,30.23335199,-97.76509224,193.843018
6.0101873295,30.23360797,-97.76492687,194.804321
6.0130144495,30.23364569,-97.76490918,194.32373
6.0291955779,30.23383227,-97.76474423,192.881714
6.0396272102,30.23397787,-97.76469033,190.958984
6.0519975883,30.23413762,-97.76459562,189.997681
6.059465573,30.23423318,-97.76453736,189.036377
